Item,Quantity,Price per Item,,SmileSource Price ,Net32/ OnlinePrice
DemeTech DemeSilk 4.0 12PC,2,18,,28,33.62
DemeTech DemeGut 4.0 12PC,2,18,,38,42
Carbide Burrs FG 557 100/bx,3,60,,75,80
Carbide Burrs Surgical FG 557 100/Box,0,60,,100,115
Carbide Burrs FG 330 100/Box,1,60,,75,80
Perfect Eco - Diamond Burr 10/Pack SR 12C(Chamfer 8.2/22),3,5,,10,11
Perfect Eco - Diamond Burr 10/Pack SF 11C(Chamfer 8.2/22),10,5,,10,11
Perfect Eco - Diamond Burr 10/Pack FO 27C(Football 5/19),5,5,,10,10
Perfect Eco - Diamond Burr 10/Pack TC 10C(Flame 10/22),5,5,,15,17
Perfect Eco - Diamond Burr 10/Pack TF 20C(Chamfer 7/21),5,5,,10,11
Spirias Vinyl Polysiloxan Abformmaterial(VPS impression material),1,25,,45,65
Imident Temp Temporary Crown & Bride A1,2,35,,45,45
Imident Temp Temporary Crown & Bride A2,2,35,,45,45
Mark 3 Core Build Up 2/Box,2,70,,82,85
Mark 3 Root Canal Preparation Cream 18g,1,18,,25,26
Nova Compo Flowable Composite 4x2g A1 ,5,12.5,,35,50
Nova Compo Flowable Composite 4x2g A2,5,12.5,,35,
Nova Compo Flowable Composite 4x2g A3,2,12.5,,35,
Nova Compo C Universal Composite 4g A2,2,8,,15,18
Nova Compo B Plus Universal Bond,5,15,,28,32
Nova Compo C Nanohybrite Composite Capsules A1 25x.25g ,4,40,,80,80
Nova Compo C Nanohybrite Composite Capsules A2 25x.25g ,6,40,,80,80
Nova Compo C Nanohybrite Composite Capsules A3 25x.25g ,2,40,,70,80
Nova Resin Cement Dual Syringe 5g,1,24,,35,35
Nova Resin Cement Dual Syringe 11g,0,30,,60,78
Biofactor MTA Putty ,1,24,,35,
Nova Sealer (bioceramic based root canal sealer) 4x2.2g,2,35,,50,
Nova Glass L Luttung Cement 15g Powder/ 10ml Liquid,1,12,,23,28
Nova Glass L Luttung Cement 35g Powder/ 15ml Liquid,0,18,,30,33
Nova Glass Ionmer Filling Cement 35g Powder/15ml Liq,0,18,,30,30
Fissured Nova Plus High Filled Sealant,2,21,,35,35
Calciplus RL Calcium Hydroxide Paste 2g,2,8,,13,14
Cavitimi (temporary filling materal) 30g,2,4,,12,15
Mark 3 VPS Impression Material  Fast Set 50ml,6,4,,7,7.5
Mark 3 VPS Impression Material Light Body Fast Set 50ml,4,4,,7,7
Sodium Floride 2% Topical Gel 505ml,2,7.5,,12,12
Acusil Light Body Fast Set 50ml,2,,,25,26
Tulip HighSpeed Hand Piece ,1,40,,60,
IQ-15 Heat Cure Arcylic 70g powder /25ml liquid,1,5,,25,
Zinconol Polymer Reinforced ZOE Cement,1,5,,10,12
Endosolve - Hp 6% Sodium Hypochloride 500ml,1,5,,10,12
E.D.T.A Ethylendiaminetetraacectic Acid 17% 500ml,1,8.5,,18,22
Prophy Angle 100/box,1,12,,20,22
Gutta Percha 60Points size 25.06,1,6,,12,
Rayclean 64tb/1bx,1,,,10,
Composite Gun,1,5,,10,
Dental Syringe ,1,5,,15,20
Dental Bone Filer ,1,5,,10,11
Goldman Fox Scissor ,1,5,,7,7
Composite Filling Instrument ,1,5,,20,
Amalgum Pluuger 2.5mm-3mm,1,5,,10,11
Cowhorn Extracting Forceps Fig 151,1,15,,50,
Elevator Flohr,1,5,,30,
Burnisher Ball/Football Hollow Handle,1,5,,25,28
PANORA 200ETCHING GEL 4 x 3 ML SYRINGE,1,9.5,,16,
PANORA 200 etching GEL Orthophosphoric Acid ETCH 2 x 50ml,0,22,,55,58
Short Posterior IMPRESSION Bite Trays ,1,6,,8,
Saliva Ejector,,,,,
Masks,,,,,
High Speed Suction,,,,,
